Identifier,ApplicationIdentifier
P_Intranet UGS_Encadrement DSIN_UGS_Siége + UGS_Encadrement DSIN,Intranet UGS
P_Intranet UGS_Encadrement S02_UGS_S02_Encadrement S02,Intranet UGS
P_Intranet UGS_Encadrement S03_UGS_S03_Encadrement S03,Intranet UGS
P_Intranet UGS_Encadrement S04_UGS_S04_Encadrement S04,Intranet UGS
P_Intranet UGS_Encadrement S05_UGS_S05_Encadrement S05,Intranet UGS
P_Intranet UGS_Encadrement S06_UGS_S06_Encadrement S06,Intranet UGS
P_Intranet UGS_Encadrement S07_UGS_S07_Encadrement S07,Intranet UGS
P_Intranet UGS_Encadrement S08_UGS_S08_Encadrement S08,Intranet UGS
P_Intranet UGS_Encadrement S09_UGS_S09_Encadrement S09,Intranet UGS
P_Intranet UGS_Encadrement S10_UGS_S10_Encadrement S10,Intranet UGS
P_Intranet UGS_Encadrement S11_UGS_S11_Encadrement S11,Intranet UGS
P_Intranet UGS_Encadrement S12_UGS_S12_Encadrement S12,Intranet UGS
P_Intranet UGS_Encadrement S13_UGS_S13_Encadrement S13,Intranet UGS
P_Intranet UGS_Encadrement S15_UGS_S15_Encadrement S15,Intranet UGS
P_Intranet UGS_Encadrement S80_UGS_S80_Encadrement S80,Intranet UGS
P_Intranet UGS_Encadrement SE1_UGS_SE1_Encadrement SE1,Intranet UGS
P_Intranet UGS_Encadrement SJ1_UGS_SJ1_Encadrement SJ1,Intranet UGS
P_Intranet UGS_Encadrement SJ2_UGS_SJ2_Encadrement SJ2,Intranet UGS
P_Intranet UGS_Encadrement SJ3_UGS_SJ3_Encadrement SJ3,Intranet UGS
P_Intranet UGS_Encadrement SJ4_UGS_SJ4_Encadrement SJ4,Intranet UGS
P_Intranet UGS_Encadrement SJ5_UGS_SJ5_Encadrement SJ5,Intranet UGS
P_Intranet UGS_Encadrement SR1_UGS_SR1_Encadrement SR1,Intranet UGS
P_Intranet UGS_Encadrement SR2_UGS_SR2_Encadrement SR2,Intranet UGS
P_Intranet UGS_Encadrement UGS S01_UGS_S01_Encadrement UGS S01,Intranet UGS
P_Intranet UGS_Lecteur ENORA-PJ_UGS_Multiple_Lecteur ENORA-PJ,Intranet UGS
P_Intranet UGS_Lecteur_Concerto_UGS_Multiple_Lecteur_Concerto,Intranet UGS
P_Intranet UGS_Lecteur_Stats_UGS_Multiple_Lecteur_Stats,Intranet UGS
P_Intranet UGS_Lecteur_UGS__Lecteur,Intranet UGS
P_Intranet UGS_Lecteurs rapports statistiques_UGS_Communication interne_Lecteurs rapports statistiques,Intranet UGS
P_Intranet UGS_Membres Task Force Stock S80_UGS_S80_Membres Task Force Stock S80,Intranet UGS
P_Intranet UGS_Membres de UGS S01_UGS_S01_Membres de UGS S01,Intranet UGS
P_Intranet UGS_Membres de UGS S02_UGS_S02_Membres de UGS S02,Intranet UGS
P_Intranet UGS_Membres de UGS S03_UGS_S03_Membres de UGS S03,Intranet UGS
P_Intranet UGS_Membres de UGS S04_UGS_S04_Membres de UGS S04,Intranet UGS
P_Intranet UGS_Membres de UGS S05_UGS_S05_Membres de UGS S05,Intranet UGS
P_Intranet UGS_Membres de UGS S06_UGS_S06_Membres de UGS S06,Intranet UGS
P_Intranet UGS_Membres de UGS S07_UGS_S07_Membres de UGS S07,Intranet UGS
P_Intranet UGS_Membres de UGS S08_UGS_S08_Membres de UGS S08,Intranet UGS
P_Intranet UGS_Membres de UGS S09_UGS_S09_Membres de UGS S09,Intranet UGS
P_Intranet UGS_Membres de UGS S10_UGS_S10_Membres de UGS S10,Intranet UGS
P_Intranet UGS_Membres de UGS S11_UGS_S11_Membres de UGS S11,Intranet UGS
P_Intranet UGS_Membres de UGS S12_UGS_S12_Membres de UGS S12,Intranet UGS
P_Intranet UGS_Membres de UGS S13_UGS_S13_Membres de UGS S13,Intranet UGS
P_Intranet UGS_Membres de UGS S15_UGS_S15_Membres de UGS S15,Intranet UGS
P_Intranet UGS_Membres de UGS SE1_UGS_SE1_Membres de UGS SE1,Intranet UGS
P_Intranet UGS_Membres de UGS SJ1_UGS_SJ1_Membres de UGS SJ1,Intranet UGS
P_Intranet UGS_Membres de UGS SJ2_UGS_SJ2_Membres de UGS SJ2,Intranet UGS
P_Intranet UGS_Membres de UGS SJ3_UGS_SJ3_Membres de UGS SJ3,Intranet UGS
P_Intranet UGS_Membres de UGS SJ4_UGS_SJ4_Membres de UGS SJ4,Intranet UGS
P_Intranet UGS_Membres de UGS SJ5_UGS_SJ5_Membres de UGS SJ5,Intranet UGS
P_Intranet UGS_Membres de UGS SR1_UGS_SR1_Membres de UGS SR1,Intranet UGS
P_Intranet UGS_Membres de UGS SR2_UGS_SR2_Membres de UGS SR2,Intranet UGS
P_Intranet UGS_Propriétaires Task Force Stock S80_UGS_S80_Propriétaires Task Force Stock S80,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S01_UGS_S01_Propriétaires de UGS S01,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S02_UGS_S02_Propriétaires de UGS S02,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S03_UGS_S03_Propriétaires de UGS S03,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S04_UGS_S04_Propriétaires de UGS S04,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S05_UGS_S05_Propriétaires de UGS S05,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S06_UGS_S06_Propriétaires de UGS S06,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S07_UGS_S07_Propriétaires de UGS S07,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S08_UGS_S08_Propriétaires de UGS S08,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S09_UGS_S09_Propriétaires de UGS S09,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S10_UGS_S10_Propriétaires de UGS S10,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S11_UGS_S11_Propriétaires de UGS S11,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S12_UGS_S12_Propriétaires de UGS S12,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S13_UGS_S13_Propriétaires de UGS S13,Intranet UGS
P_Intranet UGS_Propriétaires de UGS S15_UGS_S15_Propriétaires de UGS S15,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SE1_UGS_SE1_Propriétaires de UGS SE1,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SJ1_UGS_SJ1_Propriétaires de UGS SJ1,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SJ2_UGS_SJ2_Propriétaires de UGS SJ2,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SJ3_UGS_SJ3_Propriétaires de UGS SJ3,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SJ4_UGS_SJ4_Propriétaires de UGS SJ4,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SJ5_UGS_SJ5_Propriétaires de UGS SJ5,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SR1_UGS_SR1_Propriétaires de UGS SR1,Intranet UGS
P_Intranet UGS_Propriétaires de UGS SR2_UGS_SR2_Propriétaires de UGS SR2,Intranet UGS
P_Intranet UGS_Special Encadrement_UGS_Siége + UGS_Special Encadrement,Intranet UGS
P_Intranet UGS_Visiteurs Task Force Stock S80_UGS_S80_Visiteurs Task Force Stock S80,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S01_UGS_S01_Visiteurs de UGS S01,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S02_UGS_S02_Visiteurs de UGS S02,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S03_UGS_S03_Visiteurs de UGS S03,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S04_UGS_S04_Visiteurs de UGS S04,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S05_UGS_S05_Visiteurs de UGS S05,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S06_UGS_S06_Visiteurs de UGS S06,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S07_UGS_S07_Visiteurs de UGS S07,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S08_UGS_S08_Visiteurs de UGS S08,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S09_UGS_S09_Visiteurs de UGS S09,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S10_UGS_S10_Visiteurs de UGS S10,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S11_UGS_S11_Visiteurs de UGS S11,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S12_UGS_S12_Visiteurs de UGS S12,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S13_UGS_S13_Visiteurs de UGS S13,Intranet UGS
P_Intranet UGS_Visiteurs de UGS S15_UGS_S15_Visiteurs de UGS S15,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SE1_UGS_SE1_Visiteurs de UGS SE1,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SJ1_UGS_SJ1_Visiteurs de UGS SJ1,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SJ2_UGS_SJ2_Visiteurs de UGS SJ2,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SJ3_UGS_SJ3_Visiteurs de UGS SJ3,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SJ4_UGS_SJ4_Visiteurs de UGS SJ4,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SJ5_UGS_SJ5_Visiteurs de UGS SJ5,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SR1_UGS_SR1_Visiteurs de UGS SR1,Intranet UGS
P_Intranet UGS_Visiteurs de UGS SR2_UGS_SR2_Visiteurs de UGS SR2,Intranet UGS
P_Intranet Viaren_ComInternePacifica_ComInternePacifica,Intranet Viaren
P_Intranet Viaren_ContributeursComRH,Intranet Viaren
P_Intranet Viaren_Membres de Viaren_Membres de Viaren,Intranet Viaren
P_Intranet Viaren_Propriétaires de Viaren_Propriétaires de Viaren,Intranet Viaren
P_Intranet Viaren_Visiteurs de Viaren_Visiteurs de Viaren,Intranet Viaren
P_Intranet Viavita_ComInternePacifica_ComInternePacifica,Intranet Viavita
P_Intranet Viavita_Membres de Viavita_Membres de Viavitanet,Intranet Viavita
P_Intranet Viavita_Propriétaires de Viavita_Propriétaires de Viavitanet,Intranet Viavita
P_Intranet Viavita_Visiteurs de Viavita_Visiteurs de Viavitanet,Intranet Viavita
P_Intranet espace RH Managers_Manager Siége Intranet Pacifica_Siége_,Intranet espace RH Managers
P_Intranet espace RH Managers_Manager UGS Intranet Pacifica_UGS_,Intranet espace RH Managers
P_JENKINS_Administrateur_http-ci.dev-dep_jenkins_Admin,JENKINS
P_JENKINS_Administrateur_http-ci.dev-jenkins_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic001-8182_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic001-8183_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic002-8081-jen_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic002-8082-jen_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic002-8084-jen_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic002-8085-jen_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic002-8086-jen_Admin,JENKINS
P_JENKINS_Administrateur_http-s00sic002-8087-jen_Admin,JENKINS
P_JENKINS_Utilisateur_http-ci.dev-dep_jenkins_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-ci.dev-jenkins_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-s00sic001-8183_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-s00sic002-8081-jen_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-s00sic002-8082-jen_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-s00sic002-8084-jen_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-s00sic002-8085-jen_Utilisateur,JENKINS
P_JENKINS_Utilisateur_http-s00sic002-8087-jen_Utilisateur,JENKINS
P_MANTIS_,Mantis
P_MagicDraw_Permission d'assigner un nouveau utilisateur au systéme_Systéme_Assigner utilisateur au projet,MagicDraw
P_MagicDraw_Permission d'assigner un utilisateur au projet UML_Projet UML_Assigner utilisateur au projet,MagicDraw
P_MagicDraw_Permission d'éditer les modéles du projet UML_Projet UML_Editer le modéle,MagicDraw
P_MagicDraw_Permission d'éditer les propriétés de tout projet du systéme_Systéme_Editer les proprietes du projet,MagicDraw
P_MagicDraw_Permission d'éditer les propriétés de tout utilisateur du systéme_Systéme_Editer les propriétés de l'utilisateur,MagicDraw
P_MagicDraw_Permission d'éditer les propriétés du projet UML_Projet UML_Editer les proprietes du projet,MagicDraw
P_MagicDraw_Permission d'éditer tout modéle de tout projet _Systéme_Editer le modéle,MagicDraw
P_MagicDraw_Permission de créer un projet / une catégorie sur le systéme_Systéme_Créer projet / catégorie,MagicDraw
P_MagicDraw_Permission de créer un utilisateur sur le systéme_Systéme_Créer utilisateur,MagicDraw
P_MagicDraw_Permission de lecture des modéle avec leurs modules du projet UML_Projet UML_Lecture avec les modules,MagicDraw
P_MagicDraw_Permission de lire les modéles du projet UML_Projet UML_Lire modéle,MagicDraw
P_MagicDraw_Permission de lire tout module du systéme_Systéme_Lecture avec les modules,MagicDraw
P_MagicDraw_Permission de lire tout modéle de tout projet_Systéme_Lire modéle,MagicDraw
P_MagicDraw_Permission de lister l'ensemble des projets non affectés du systéme_Systéme_Liste des projets non affectés,MagicDraw
P_MagicDraw_Permission de lister les Accès des utilisateurs sur le systéme_Systéme_Liste d'Accès utilisateur,MagicDraw
P_MagicDraw_Permission de renommer toute catégorie du systéme_Systéme_Renommer la catégorie,MagicDraw
P_MagicDraw_Permission de supprimer tout utilisateur du systéme_Systéme_Supprimer utilisateur,MagicDraw
P_MagicDraw_Permission de supprimer toute catégorie du systéme_Systéme_Supprimer la categorie,MagicDraw
P_Mantis_Administrateur MANTIS_Administrateur,Mantis
P_Mantis_Développeur MANTIS_Développeur,Mantis
P_Mantis_Invité MANTIS_Invité,Mantis
P_Mantis_Manager MANTIS_Manager,Mantis
P_Mantis_Rapporteur MANTIS_Rapporteur,Mantis
P_Mantis_Testeur MANTIS_Testeur,Mantis
P_MyJobs_Manager recruteur_S01_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S02_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S03_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S04_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S05_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S06_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S07_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S08_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S09_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S10_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S11_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S12_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S13_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S15_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_S80_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SE1_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SJ1_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SJ2_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SJ3_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SJ4_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SJ5_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SR1_Manager recruteur,MyJobs
P_MyJobs_Manager recruteur_SR2_Manager recruteur,MyJobs
P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_DMAP_-_,OCEAN
P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_SVP_-_,OCEAN
P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_UGP_-_,OCEAN
P_OCEAN_Accès DSI en centre de contact DMAP_DSI_DMAP_,OCEAN
P_OCEAN_Accès DSI en centre de contact DMAP_DSI_SVP_,OCEAN
P_OCEAN_Accès DSI en centre de contact SINISTRE_DSI_SINISTRE_,OCEAN
P_OCEAN_Accès DSI en centre de contact UGP_DSI_UGP_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S01_UGS_SINISTRE_S01_S01 (site physique) S01 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S02_UGS_SINISTRE_S02_S02 (site physique) S02 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S03_UGS_SINISTRE_S03_S03 (site physique) S03 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S04_UGS_SINISTRE_S04_S04 (site physique) S04 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S05_UGS_SINISTRE_S05_S05 (site physique) S05 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S06_UGS_SINISTRE_S06_S06 (site physique) S06 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S07_UGS_SINISTRE_S07_S07 (site physique) S07 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S08_UGS_SINISTRE_S08_S08 (site physique) S08 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S09_UGS_SINISTRE_S09_S09 (site physique) S09 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S10_UGS_SINISTRE_S10_S10 (site physique) S10 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S11_UGS_SINISTRE_S11_S11 (site physique) S11 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S12_UGS_SINISTRE_S12_S12 (site physique) S12 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S13_UGS_SINISTRE_S13_S13 (site physique) S13 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S13_UGS_SINISTRE_S14_S14 (site physique) S14 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S15_UGS_SINISTRE_S15_S15 (site physique) S15 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S80_UGS_SINISTRE_S80_S80 (site physique) S80 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SE1_UGS_SINISTRE_SE1_SE1 (site physique) SE1 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ1_UGS_SINISTRE_SJ1_SJ1 (site physique) SJ1 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ2_UGS_SINISTRE_SJ2_SJ2 (site physique) SJ2 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ3_UGS_SINISTRE_SJ3_SJ3 (site physique) SJ3 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ4_UGS_SINISTRE_SJ4_SJ4 (site physique) SJ4 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ5_UGS_SINISTRE_SJ5_SJ5 (site physique) SJ5 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ6_UGS_SINISTRE_SJ6_SJ6 (site physique) SJ6 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SR1_UGS_SINISTRE_SR1_SR1 (site physique) SR1 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE site SR2_UGS_SINISTRE_SR2_SR2 (site physique) SR2 (site logique)_,OCEAN
P_OCEAN_Accès DSIN en centre de contact SINISTRE_DSIN_SINISTRE_,OCEAN
P_OCEAN_Accès SVP en centre de contact SVP_SVP_SVP_,OCEAN
P_OCEAN_Accès UGO en centre de contact UGO_,OCEAN
P_OCEAN_Accès UGP en centre de contact UGP_UGP_UGP_-_,OCEAN
P_OCEAN_Accès VIAREN en centre de contact VIAREN_VIAREN_VIAREN_-_,OCEAN
P_OCEAN_Accès VIAVITA en centre de contact VIAVITA_VIAVITA_VIAVITA_-_,OCEAN
P_OMEGA_Emission d'appels d'offres habilité aux actes d'achat_Acheteur,EASY
P_OMEGA_Lecture seule sur tout l'applicatif aucune modification autorisée_Contréle Permanent,EASY
P_OMEGA_non habilité é émettre un appel déoffres mais peut intervenir en validation dans un workflow déachat_Prescripteur Achat,EASY
P_OMEGA_tous les droits sur le périmétre des appels déoffres Pacifica_Responsable péle achat,EASY
P_OSCAR_Acteur_Acteur,OSCAR
P_OSCAR_Administrateur_Administrateur,OSCAR
P_OSCAR_Batch_Batch,OSCAR
P_OSCAR_Contréleur_Contréleur,OSCAR
P_OSCAR_Gestionnaire de processus_Gestionnaire de processus,OSCAR
P_OSCAR_Invité_Invité,OSCAR
P_Oracle Answers_ANSWERS-Production-PACIFICA-Auteur_ANSWERS-Production-PACIFICA-Auteur,Oracle Answers
P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur Restreint,Oracle Answers
P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur_ANSWERS-Production-PACIFICA-Consommateur,Oracle Answers
P_Oracle Answers_ANSWERS-Production-PACIFICA-Consultation_RESTRICTED,Oracle Answers
P_Oracle Answers_ANSWERS-Production-SIRCA-Consultation_RESTRICTED,Oracle Answers
P_Oracle Answers_ANSWERS-Production-VIAVITA-Consultation_RESTRICTED,Oracle Answers
P_Oracle Answers_ANSWERS-Recette-PACIFICA-Auteur_ANSWERS-Recette-PACIFICA-Auteur,Oracle Answers
P_Oracle Answers_ANSWERS-Recette-PACIFICA-Consommateur_ANSWERS-Recette-PACIFICA-Consommateur,Oracle Answers
P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 207CO_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 207CO,Oracle R12
P_Oracle R12_Comptabilité Pacifica-Production-Assistant Direction de la Solvabilité et de léActuariat Secteur 207CO_Comptabilité Pacifica-Production-Assistant Direction de la Solvabilité et de léActuariat Secteur 207CO,Oracle R12
P_Oracle R12_Comptabilité Pacifica-Production-Responsable Direction de la Solvabilité et de léActuariat Secteur 207CO_Comptabilité Pacifica-Production-Responsable Direction de la Solvabilité et de léActuariat Secteur 207CO,Oracle R12
P_Pacifica Active Directory SIA_Administrateur_Users T0,Pacifica Active Directory SIA - CyberArk
P_Pacifica Active Directory SIA_Administrateur_Users T1,Pacifica Active Directory SIA - CyberArk
P_Pivotal VIAVITA_Administrateur technique_Via_Administrateur_Technique,Pivotal VIAVITA
P_Pivotal VIAVITA_Administrateur_Via_Administrateur,Pivotal VIAVITA
P_Pivotal VIAVITA_Animateur SALP_Via_Animateur SALP,Pivotal VIAVITA
P_Pivotal VIAVITA_Animateur assistance_Via_Animateur_Assistance,Pivotal VIAVITA
P_Pivotal VIAVITA_Assistant administratif_Via_Assistant administratif,Pivotal VIAVITA
P_Pivotal VIAVITA_Cellule administration et comptabilité_Via_Cellule administration et comptabilité,Pivotal VIAVITA
P_Pivotal VIAVITA_Conseiller service SALP_Via_Conseiller_Service_SALP,Pivotal VIAVITA
P_Pivotal VIAVITA_Conseiller service assistance_Via_Conseiller_Service_Assistance,Pivotal VIAVITA
P_Pivotal VIAVITA_Responsable Cellule prestataire_Via_Resp. Cellule  Prestataire,Pivotal VIAVITA
P_Pivotal VIAVITA_Responsable adjoint USAP_Via_Responsable adjoint USAP,Pivotal VIAVITA
P_Poste de travail virtuel distant_ Accès distant pour le CDS DECISIONNEL_GS_CITRIX_DECISIONNEL,Poste de travail virtuel distant
P_Poste de travail virtuel distant_ Accès distant pour le CDS OPEN_GS_CITRIX_OPEN,Poste de travail virtuel distant
P_Poste de travail virtuel distant_ Accès distant pour le CDS TRA_GS_CITRIX_TRA,Poste de travail virtuel distant
P_Poste de travail virtuel distant_Accès distant pour le CDS CLARITY_GS_CITRIX_CLARITY,Poste de travail virtuel distant
P_Poste de travail virtuel distant_Accès distant pour le CDS HOST_GS_CITRIX_HOST,Poste de travail virtuel distant
P_PowerBI_Utilisateur,Power BI EAF
P_Quality Center_,Quality Center
P_Quality Center_CDS QC_CDS QC,Quality Center
P_Quality Center_Informatique QC_Informatique QC,Quality Center
P_Quality Center_Métier QC_Métier QC,Quality Center
P_Quality Center_TRA QC_TRA QC,Quality Center
P_R for Windows_R for Windows et R Studios installés_R for Windows et R Studio installé,R for Windows
P_RCP Scope_Administrateur Fonctionnel_Scope,RCP Scope
P_RCP Scope_Administrateur des habilitations - Portail,RCP Scope
P_RCP Scope_Administrateur fonctionnel - Portail,RCP Scope
P_RCP Scope_Administrateur local - RCPR - Plan d'actions,RCP Scope
P_RCP Scope_Administrateur local - RCPR_Scope,RCP Scope
P_RCP Scope_Auditeur_Scope,RCP Scope
P_RCP Scope_Contréleur_Scope,RCP Scope
P_RCP Scope_Lecteur - Auditeur - OLIMPIA,RCP Scope
P_RCP Scope_Lecteur - Portail,RCP Scope
P_RCP Scope_Lecteur_Scope,RCP Scope
P_RCP Scope_Rédacteur_Scope,RCP Scope
P_RCP Scope_Synchro_Scope,RCP Scope
P_RCP Scope_Valideur_Scope,RCP Scope
P_SAS Console_SAS Console installé_SAS Console installé,SAS Console
P_SAS Guide_SAS Guide installé_SAS Guide installé,SAS Guide
P_SEP_Autorisation USB et Wifi_Autorisation USB et Wifi,SEP
P_SEP_Autorisation USB_Autorisation USB,SEP
P_SEP_Helpdesk_Helpdesk,SEP
P_SEP_Nomade ETH Wifi avec USB_Nomade ETH Wifi avec USB,SEP
P_SEP_Nomade ETH et Wifi_Nomade ETH et Wifi,SEP
P_SONAR_Administrators ARCHI_ARCHI,SONAR
P_SONAR_Administrators GFI_GFI,SONAR
P_SONAR_Administrators GPA_EPIC_GPA_EPIC,SONAR
P_SONAR_Administrators GPA_P3S_GPA_P3S,SONAR
P_SONAR_Administrators PGP_PGP,SONAR
P_SONAR_Users DOS_ITD_DOS,SONAR
P_SONAR_Users SAS_SALP,SONAR
P_SONAR_Users TaskForce_TaskForce,SONAR
P_SVN_Utilisateur_Utilisateur,SVN
P_SVP.NET_Groupe AD pour mapping avec modele Agent  IPK et/ou workflow - équipe DSIN_G_infra_dsin_2010,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent  IPK et/ou workflow - équipe Logistique_G_infra_logistique_2010,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent  IPK et/ou workflow - équipe RH Badge_G_infra_rh_badge,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent IPK et/ou workflow - équipe DFI_G_infra_dfi_2010,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent IPK et/ou workflow - équipe DOSIP/BPA/CDG_G_infra_dosip_bpa_cdg,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent IPK et/ou workflow - équipe DOSIP/BPA/GSI/PILMEP_G_infra_dosip_bpa_gsi_pilmep,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent IPK et/ou workflow - équipe DOSIP/BPA/GSI/PILPPM_G_infra_dosip_bpa_gsi_pilppm,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent IPK et/ou workflow - équipe DOSIP/BPA/GSI/PILTMP_G_infra_dosip_bpa_gsi_piltmp,SVP.NET
P_SVP.NET_Groupe AD pour mapping avec modele Agent IPK et/ou workflow - équipe DOSIP/BPA/GSI/TRA_G_infra_dosip_bpa_gsi_tra,SVP.NET
