Description,FunctionalApprover,Identifier,Name,TechnicalAdmin
Lecture des logs et execution de builds,,P_JENKINS_Utilisateur_http-s00sic002-8085-jen_Utilisateur,P_JENKINS_Utilisateur_http-s00sic002-8085-jen,
Lecture des logs et execution de builds,,P_JENKINS_Utilisateur_http-s00sic002-8087-jen_Utilisateur,P_JENKINS_Utilisateur_http-s00sic002-8087-jen,
Les membres utilisateurs de ce réle se voient attribuer un compte Mantis,,P_MANTIS_,P_MANTIS,
Permission d'assigner un nouveau utilisateur au systéme,,P_MagicDraw_Permission d'assigner un nouveau utilisateur au systéme_Systéme_Assigner utilisateur au projet,P_MagicDraw_Permission d'assigner un nouveau utilisateur au systéme_Systéme,
Permission d'assigner un utilisateur au projet UML,,P_MagicDraw_Permission d'assigner un utilisateur au projet UML_Projet UML_Assigner utilisateur au projet,P_MagicDraw_Permission d'assigner un utilisateur au projet UML_Projet UML,
Permission d'éditer les modéles du projet UML,,P_MagicDraw_Permission d'éditer les modéles du projet UML_Projet UML_Editer le modéle,P_MagicDraw_Permission d'éditer les modéles du projet UML_Projet UML,
Permission d'éditer les propriétés de tout projet du systéme,,P_MagicDraw_Permission d'éditer les propriétés de tout projet du systéme_Systéme_Editer les proprietes du projet,P_MagicDraw_Permission d'éditer les propriétés de tout projet du systéme_Systéme,
Permission d'éditer les propriétés de tout utilisateur du systéme,,P_MagicDraw_Permission d'éditer les propriétés de tout utilisateur du systéme_Systéme_Editer les propriétés de l'utilisateur,P_MagicDraw_Permission d'éditer les propriétés de tout utilisateur du systéme_Systéme,
Permission d'éditer les propriétés du projet UML,,P_MagicDraw_Permission d'éditer les propriétés du projet UML_Projet UML_Editer les proprietes du projet,P_MagicDraw_Permission d'éditer les propriétés du projet UML_Projet UML,
Permission d'éditer tout modéle de tout projet,,P_MagicDraw_Permission d'éditer tout modéle de tout projet _Systéme_Editer le modéle,P_MagicDraw_Permission d'éditer tout modéle de tout projet _Systéme,
Permission de créer un projet / une catégorie sur le systéme,,P_MagicDraw_Permission de créer un projet / une catégorie sur le systéme_Systéme_Créer projet / catégorie,P_MagicDraw_Permission de créer un projet / une catégorie sur le systéme_Systéme,
Permission de créer un utilisateur sur le systéme,,P_MagicDraw_Permission de créer un utilisateur sur le systéme_Systéme_Créer utilisateur,P_MagicDraw_Permission de créer un utilisateur sur le systéme_Systéme,
Permission de lecture des modéle avec leurs modules du projet UML,,P_MagicDraw_Permission de lecture des modéle avec leurs modules du projet UML_Projet UML_Lecture avec les modules,P_MagicDraw_Permission de lecture des modéle avec leurs modules du projet UML_Projet UML,
Permission de lire les modéles du projet UML,,P_MagicDraw_Permission de lire les modéles du projet UML_Projet UML_Lire modéle,P_MagicDraw_Permission de lire les modéles du projet UML_Projet UML,
Permission de lire tout module du systéme,,P_MagicDraw_Permission de lire tout module du systéme_Systéme_Lecture avec les modules,P_MagicDraw_Permission de lire tout module du systéme_Systéme,
Permission de lire tout modéle de tout projet,,P_MagicDraw_Permission de lire tout modéle de tout projet_Systéme_Lire modéle,P_MagicDraw_Permission de lire tout modéle de tout projet_Systéme,
Permission de lister l'ensemble des projets non affectés du systéme,,P_MagicDraw_Permission de lister l'ensemble des projets non affectés du systéme_Systéme_Liste des projets non affectés,P_MagicDraw_Permission de lister l'ensemble des projets non affectés du systéme_Systéme,
Permission de lister les Accès des utilisateurs sur le systéme,,P_MagicDraw_Permission de lister les Accès des utilisateurs sur le systéme_Systéme_Liste d'Accès utilisateur,P_MagicDraw_Permission de lister les Accès des utilisateurs sur le systéme_Systéme,
Permission de renommer toute catégorie du systéme,,P_MagicDraw_Permission de renommer toute catégorie du systéme_Systéme_Renommer la catégorie,P_MagicDraw_Permission de renommer toute catégorie du systéme_Systéme,
Permission de supprimer tout utilisateur du systéme,,P_MagicDraw_Permission de supprimer tout utilisateur du systéme_Systéme_Supprimer utilisateur,P_MagicDraw_Permission de supprimer tout utilisateur du systéme_Systéme,
Permission de supprimer toute catégorie du systéme,,P_MagicDraw_Permission de supprimer toute catégorie du systéme_Systéme_Supprimer la categorie,P_MagicDraw_Permission de supprimer toute catégorie du systéme_Systéme,
,,P_Mantis_Administrateur MANTIS_Administrateur,P_Mantis_Administrateur MANTIS,
,,P_Mantis_Développeur MANTIS_Développeur,P_Mantis_Développeur MANTIS,
,,P_Mantis_Invité MANTIS_Invité,P_Mantis_Invité MANTIS,
,,P_Mantis_Manager MANTIS_Manager,P_Mantis_Manager MANTIS,
,,P_Mantis_Rapporteur MANTIS_Rapporteur,P_Mantis_Rapporteur MANTIS,
,,P_Mantis_Testeur MANTIS_Testeur,P_Mantis_Testeur MANTIS,
Manager recruteur sur le périmétre S01,,P_MyJobs_Manager recruteur_S01_Manager recruteur,P_MyJobs_Manager recruteur_S01,
Manager recruteur sur le périmétre S02,,P_MyJobs_Manager recruteur_S02_Manager recruteur,P_MyJobs_Manager recruteur_S02,
Manager recruteur sur le périmétre S03,,P_MyJobs_Manager recruteur_S03_Manager recruteur,P_MyJobs_Manager recruteur_S03,
Manager recruteur sur le périmétre S04,,P_MyJobs_Manager recruteur_S04_Manager recruteur,P_MyJobs_Manager recruteur_S04,
Manager recruteur sur le périmétre S05,,P_MyJobs_Manager recruteur_S05_Manager recruteur,P_MyJobs_Manager recruteur_S05,
Manager recruteur sur le périmétre S06,,P_MyJobs_Manager recruteur_S06_Manager recruteur,P_MyJobs_Manager recruteur_S06,
Manager recruteur sur le périmétre S07,,P_MyJobs_Manager recruteur_S07_Manager recruteur,P_MyJobs_Manager recruteur_S07,
Manager recruteur sur le périmétre S08,,P_MyJobs_Manager recruteur_S08_Manager recruteur,P_MyJobs_Manager recruteur_S08,
Manager recruteur sur le périmétre S09,,P_MyJobs_Manager recruteur_S09_Manager recruteur,P_MyJobs_Manager recruteur_S09,
Manager recruteur sur le périmétre S10,,P_MyJobs_Manager recruteur_S10_Manager recruteur,P_MyJobs_Manager recruteur_S10,
Manager recruteur sur le périmétre S11,,P_MyJobs_Manager recruteur_S11_Manager recruteur,P_MyJobs_Manager recruteur_S11,
Manager recruteur sur le périmétre S12,,P_MyJobs_Manager recruteur_S12_Manager recruteur,P_MyJobs_Manager recruteur_S12,
Manager recruteur sur le périmétre S13,,P_MyJobs_Manager recruteur_S13_Manager recruteur,P_MyJobs_Manager recruteur_S13,
Manager recruteur sur le périmétre S15,,P_MyJobs_Manager recruteur_S15_Manager recruteur,P_MyJobs_Manager recruteur_S15,
Manager recruteur sur le périmétre S80,,P_MyJobs_Manager recruteur_S80_Manager recruteur,P_MyJobs_Manager recruteur_S80,
Manager recruteur sur le périmétre SE1,,P_MyJobs_Manager recruteur_SE1_Manager recruteur,P_MyJobs_Manager recruteur_SE1,
Manager recruteur sur le périmétre SJ1,,P_MyJobs_Manager recruteur_SJ1_Manager recruteur,P_MyJobs_Manager recruteur_SJ1,
Manager recruteur sur le périmétre SJ2,,P_MyJobs_Manager recruteur_SJ2_Manager recruteur,P_MyJobs_Manager recruteur_SJ2,
Manager recruteur sur le périmétre SJ3,,P_MyJobs_Manager recruteur_SJ3_Manager recruteur,P_MyJobs_Manager recruteur_SJ3,
Manager recruteur sur le périmétre SJ4,,P_MyJobs_Manager recruteur_SJ4_Manager recruteur,P_MyJobs_Manager recruteur_SJ4,
Manager recruteur sur le périmétre SJ5,,P_MyJobs_Manager recruteur_SJ5_Manager recruteur,P_MyJobs_Manager recruteur_SJ5,
Manager recruteur sur le périmétre SR1,,P_MyJobs_Manager recruteur_SR1_Manager recruteur,P_MyJobs_Manager recruteur_SR1,
Manager recruteur sur le périmétre SR2,,P_MyJobs_Manager recruteur_SR2_Manager recruteur,P_MyJobs_Manager recruteur_SR2,
Accès DMAP en centre de contact DMAP,,P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_DMAP_-_,P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_DMAP_-,
Accès DMAP en centre de contact SVP,,P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_SVP_-_,P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_SVP_-,
Accès DMAP en centre de contact UGP,,P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_UGP_-_,P_OCEAN_Accès DMAP en centre de contact DMAP_DMAP_UGP_-,
Accès DSI en centre de contact DMAP,,P_OCEAN_Accès DSI en centre de contact DMAP_DSI_DMAP_,P_OCEAN_Accès DSI en centre de contact DMAP_DSI_DMAP,
Accès DSI en centre de contact SVP,,P_OCEAN_Accès DSI en centre de contact DMAP_DSI_SVP_,P_OCEAN_Accès DSI en centre de contact DMAP_DSI_SVP,
Accès DSI en centre de contact SINISTRE,,P_OCEAN_Accès DSI en centre de contact SINISTRE_DSI_SINISTRE_,P_OCEAN_Accès DSI en centre de contact SINISTRE_DSI_SINISTRE,
Accès DSI en centre de contact UGP,,P_OCEAN_Accès DSI en centre de contact UGP_DSI_UGP_,P_OCEAN_Accès DSI en centre de contact UGP_DSI_UGP,
Accès DSIN en centre de contact SINISTRE sur le site physique S01 (site logique S01),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S01_UGS_SINISTRE_S01_S01 (site physique) S01 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S01_UGS_SINISTRE_S01_S01,
Accès DSIN en centre de contact SINISTRE sur le site physique S02 (site logique S02),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S02_UGS_SINISTRE_S02_S02 (site physique) S02 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S02_UGS_SINISTRE_S02_S02,
Accès DSIN en centre de contact SINISTRE sur le site physique S03 (site logique S03),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S03_UGS_SINISTRE_S03_S03 (site physique) S03 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S03_UGS_SINISTRE_S03_S03,
Accès DSIN en centre de contact SINISTRE sur le site physique S04 (site logique S04),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S04_UGS_SINISTRE_S04_S04 (site physique) S04 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S04_UGS_SINISTRE_S04_S04,
Accès DSIN en centre de contact SINISTRE sur le site physique S05 (site logique S05),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S05_UGS_SINISTRE_S05_S05 (site physique) S05 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S05_UGS_SINISTRE_S05_S05,
Accès DSIN en centre de contact SINISTRE sur le site physique S06 (site logique S06),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S06_UGS_SINISTRE_S06_S06 (site physique) S06 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S06_UGS_SINISTRE_S06_S06,
Accès DSIN en centre de contact SINISTRE sur le site physique S07 (site logique S07),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S07_UGS_SINISTRE_S07_S07 (site physique) S07 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S07_UGS_SINISTRE_S07_S07,
Accès DSIN en centre de contact SINISTRE sur le site physique S08 (site logique S08),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S08_UGS_SINISTRE_S08_S08 (site physique) S08 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S08_UGS_SINISTRE_S08_S08,
Accès DSIN en centre de contact SINISTRE sur le site physique S09 (site logique S09),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S09_UGS_SINISTRE_S09_S09 (site physique) S09 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S09_UGS_SINISTRE_S09_S09,
Accès DSIN en centre de contact SINISTRE sur le site physique S10 (site logique S10),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S10_UGS_SINISTRE_S10_S10 (site physique) S10 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S10_UGS_SINISTRE_S10_S10,
Accès DSIN en centre de contact SINISTRE sur le site physique S11 (site logique S11),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S11_UGS_SINISTRE_S11_S11 (site physique) S11 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S11_UGS_SINISTRE_S11_S11,
Accès DSIN en centre de contact SINISTRE sur le site physique S12 (site logique S12),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S12_UGS_SINISTRE_S12_S12 (site physique) S12 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S12_UGS_SINISTRE_S12_S12,
Accès DSIN en centre de contact SINISTRE sur le site physique S13 (site logique S13),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S13_UGS_SINISTRE_S13_S13 (site physique) S13 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S13_UGS_SINISTRE_S13_S13,
Accès DSIN en centre de contact SINISTRE sur le site physique S14 (site logique S14),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S13_UGS_SINISTRE_S14_S14 (site physique) S14 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S14_UGS_SINISTRE_S14_S14,
Accès DSIN en centre de contact SINISTRE sur le site physique S13 (site logique S13),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S15_UGS_SINISTRE_S15_S15 (site physique) S15 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S15_UGS_SINISTRE_S15_S15,
Accès DSIN en centre de contact SINISTRE sur le site physique S80 (site logique S80),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S80_UGS_SINISTRE_S80_S80 (site physique) S80 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site S80_UGS_SINISTRE_S80_S80,
Accès DSIN en centre de contact SINISTRE sur le site physique SE1 (site logique SE1),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SE1_UGS_SINISTRE_SE1_SE1 (site physique) SE1 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SE1_UGS_SINISTRE_SE1_SE1,
Accès DSIN en centre de contact SINISTRE sur le site physique SJ1 (site logique SJ1),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ1_UGS_SINISTRE_SJ1_SJ1 (site physique) SJ1 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ1_UGS_SINISTRE_SJ1_SJ1,
Accès DSIN en centre de contact SINISTRE sur le site physique SJ2 (site logique SJ2),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ2_UGS_SINISTRE_SJ2_SJ2 (site physique) SJ2 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ2_UGS_SINISTRE_SJ2_SJ2,
Accès DSIN en centre de contact SINISTRE sur le site physique SJ3 (site logique SJ3),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ3_UGS_SINISTRE_SJ3_SJ3 (site physique) SJ3 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ3_UGS_SINISTRE_SJ3_SJ3,
Accès DSIN en centre de contact SINISTRE sur le site physique SJ4 (site logique SJ4),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ4_UGS_SINISTRE_SJ4_SJ4 (site physique) SJ4 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ4_UGS_SINISTRE_SJ4_SJ4,
Accès DSIN en centre de contact SINISTRE sur le site physique SJ5 (site logique SJ5),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ5_UGS_SINISTRE_SJ5_SJ5 (site physique) SJ5 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ5_UGS_SINISTRE_SJ5_SJ5,
Accès DSIN en centre de contact SINISTRE sur le site physique SJ6 (site logique SJ6),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ6_UGS_SINISTRE_SJ6_SJ6 (site physique) SJ6 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SJ6_UGS_SINISTRE_SJ6_SJ6,
Accès DSIN en centre de contact SINISTRE sur le site physique SR1 (site logique SR1),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SR1_UGS_SINISTRE_SR1_SR1 (site physique) SR1 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SR1_UGS_SINISTRE_SR1_SR1,
Accès DSIN en centre de contact SINISTRE sur le site physique SR2 (site logique SR2),,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SR2_UGS_SINISTRE_SR2_SR2 (site physique) SR2 (site logique)_,P_OCEAN_Accès DSIN en centre de contact SINISTRE site SR2_UGS_SINISTRE_SR2_SR2,
Accès DSIN en centre de contact SINISTRE,,P_OCEAN_Accès DSIN en centre de contact SINISTRE_DSIN_SINISTRE_,P_OCEAN_Accès DSIN en centre de contact SINISTRE_DSIN_SINISTRE,
Accès SVP en centre de contact SVP,,P_OCEAN_Accès SVP en centre de contact SVP_SVP_SVP_,P_OCEAN_Accès SVP en centre de contact SVP_SVP_SVP,
Accès UGO en centre de contact UGO,,P_OCEAN_Accès UGO en centre de contact UGO_,P_OCEAN_Accès UGO en centre de contact UGO,
Accès UGP en centre de contact UGP,,P_OCEAN_Accès UGP en centre de contact UGP_UGP_UGP_-_,P_OCEAN_Accès UGP en centre de contact UGP_UGP_UGP_-,
Accès VIAREN en centre de contact VIAREN,,P_OCEAN_Accès VIAREN en centre de contact VIAREN_VIAREN_VIAREN_-_,P_OCEAN_Accès VIAREN en centre de contact VIAREN_VIAREN_VIAREN_-,
Accès VIAVITA en centre de contact VIAVITA,,P_OCEAN_Accès VIAVITA en centre de contact VIAVITA_VIAVITA_VIAVITA_-_,P_OCEAN_Accès VIAVITA en centre de contact VIAVITA_VIAVITA_VIAVITA_-,
,,P_OMEGA_Emission d'appels d'offres habilité aux actes d'achat_Acheteur,P_OMEGA_Emission d'appels d'offres habilité aux actes d'achat,
,,P_OMEGA_Lecture seule sur tout l'applicatif aucune modification autorisée_Contréle Permanent,P_OMEGA_Lecture seule sur tout l'applicatif aucune modification autorisée,
,,P_OMEGA_non habilité é émettre un appel déoffres mais peut intervenir en validation dans un workflow déachat_Prescripteur Achat,P_OMEGA_non habilité é émettre un appel déoffres mais peut intervenir en validation dans un workflow déachat,
,,P_OMEGA_tous les droits sur le périmétre des appels déoffres Pacifica_Responsable péle achat,P_OMEGA_tous les droits sur le périmétre des appels déoffres Pacifica,
Valider / invalider une tache planifiée du processus. Consulter des téches planifiées. Accèder au m,,P_OSCAR_Acteur_Acteur,P_OSCAR_Acteur,
Valider / invalider une tache planifiée du processus. Consulter des téches planifiées. Accèder au m,,P_OSCAR_Administrateur_Administrateur,P_OSCAR_Administrateur,
Droits de lancer les traitements batch,,P_OSCAR_Batch_Batch,P_OSCAR_Batch,
Valider / invalider une tache planifiée du processus. Consulter des téches planifiées. Accèder au m,,P_OSCAR_Contréleur_Contréleur,P_OSCAR_Contréleur,
Valider / invalider une tache planifiée du processus. Consulter des téches planifiées. Accèder au m,,P_OSCAR_Gestionnaire de processus_Gestionnaire de processus,P_OSCAR_Gestionnaire de processus,
Valider / invalider une tache planifiée du processus. Consulter des téches planifiées. Accèder au m,,P_OSCAR_Invité_Invité,P_OSCAR_Invité,
Accès en lecture/écriture aux analyses,,P_Oracle Answers_ANSWERS-Production-PACIFICA-Auteur_ANSWERS-Production-PACIFICA-Auteur,P_Oracle Answers_ANSWERS-Production-PACIFICA-Auteur,
Accès restreint en consultation uniquement,,P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur Restreint,P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur Restreint,
Accès en consultation,,P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur_ANSWERS-Production-PACIFICA-Consommateur,P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur,
Ce profil donne la responsabilité suivante:,,P_Oracle Answers_ANSWERS-Production-PACIFICA-Consultation_RESTRICTED,P_Oracle Answers_ANSWERS-Production-PACIFICA-Consultation_RESTRICTED,
Ce profil donne la responsabilité suivante:,,P_Oracle Answers_ANSWERS-Production-SIRCA-Consultation_RESTRICTED,P_Oracle Answers_ANSWERS-Production-SIRCA-Consultation_RESTRICTED,
Ce profil donne la responsabilité suivante:,,P_Oracle Answers_ANSWERS-Production-VIAVITA-Consultation_RESTRICTED,P_Oracle Answers_ANSWERS-Production-VIAVITA-Consultation_RESTRICTED,
Accès en lecture/écriture aux analyses,,P_Oracle Answers_ANSWERS-Recette-PACIFICA-Auteur_ANSWERS-Recette-PACIFICA-Auteur,P_Oracle Answers_ANSWERS-Recette-PACIFICA-Auteur,
Accès en consultation,,P_Oracle Answers_ANSWERS-Recette-PACIFICA-Consommateur_ANSWERS-Recette-PACIFICA-Consommateur,P_Oracle Answers_ANSWERS-Recette-PACIFICA-Consommateur,
Ce profil donne le réle UMX,,P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 207CO_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 207CO,P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 207CO,
Ce profil donne le réle UMX,,P_Oracle R12_Comptabilité Pacifica-Production-Assistant Direction de la Solvabilité et de léActuariat Secteur 207CO_Comptabilité Pacifica-Production-Assistant Direction de la Solvabilité et de léActuariat Secteur 207CO,P_Oracle R12_Comptabilité Pacifica-Production-Assistant Direction de la Solvabilité et de léActuariat Secteur 207CO,
Ce profil donne le réle UMX,,P_Oracle R12_Comptabilité Pacifica-Production-Responsable Direction de la Solvabilité et de léActuariat Secteur 207CO_Comptabilité Pacifica-Production-Responsable Direction de la Solvabilité et de léActuariat Secteur 207CO,P_Oracle R12_Comptabilité Pacifica-Production-Responsable Direction de la Solvabilité et de léActuariat Secteur 207CO,
Compte permettant l'Accès aux administrateurs techniques,,P_Pacifica Active Directory SIA_Administrateur_Users T0,T0 - Admin domaine - SIA_Administrateur,
Compte permettant l'Accès aux administrateurs techniques,,P_Pacifica Active Directory SIA_Administrateur_Users T1,T1 - Admin serveur - SIA_Administrateur,
MOE/MOA Pivotal,,P_Pivotal VIAVITA_Administrateur technique_Via_Administrateur_Technique,P_Pivotal VIAVITA_Administrateur technique,
MOA/MOE Pivotal,,P_Pivotal VIAVITA_Administrateur_Via_Administrateur,P_Pivotal VIAVITA_Administrateur,
Animatrice de groupe Front Office,,P_Pivotal VIAVITA_Animateur SALP_Via_Animateur SALP,P_Pivotal VIAVITA_Animateur SALP,
Animateur de groupe Front Office,,P_Pivotal VIAVITA_Animateur assistance_Via_Animateur_Assistance,P_Pivotal VIAVITA_Animateur assistance,
Assistant administratif de Viavita,,P_Pivotal VIAVITA_Assistant administratif_Via_Assistant administratif,P_Pivotal VIAVITA_Assistant administratif,
Employé Back Office,,P_Pivotal VIAVITA_Cellule administration et comptabilité_Via_Cellule administration et comptabilité,P_Pivotal VIAVITA_Cellule administration et comptabilité,
Conseiller service Front Office,,P_Pivotal VIAVITA_Conseiller service SALP_Via_Conseiller_Service_SALP,P_Pivotal VIAVITA_Conseiller service SALP,
Conseiller service Front Office,,P_Pivotal VIAVITA_Conseiller service assistance_Via_Conseiller_Service_Assistance,P_Pivotal VIAVITA_Conseiller service assistance,
Gestionnaire prestataires,,P_Pivotal VIAVITA_Responsable Cellule prestataire_Via_Resp. Cellule  Prestataire,P_Pivotal VIAVITA_Responsable Cellule prestataire,
Responsable du Front Office,,P_Pivotal VIAVITA_Responsable adjoint USAP_Via_Responsable adjoint USAP,P_Pivotal VIAVITA_Responsable adjoint USAP,
Accès é la plateforme Citrix pour le CDS Décisionnel,,P_Poste de travail virtuel distant_ Accès distant pour le CDS DECISIONNEL_GS_CITRIX_DECISIONNEL,P_Poste de travail virtuel distant_ Accès distant pour le CDS DECISIONNEL,
Accès é la plateforme Citrix pour le CDS de développement sur le périmétre OPEN,,P_Poste de travail virtuel distant_ Accès distant pour le CDS OPEN_GS_CITRIX_OPEN,P_Poste de travail virtuel distant_ Accès distant pour le CDS OPEN,
Accès é la plateforme Citrix pour le CDS TRA,,P_Poste de travail virtuel distant_ Accès distant pour le CDS TRA_GS_CITRIX_TRA,P_Poste de travail virtuel distant_ Accès distant pour le CDS TRA,
Accès é la plateforme Citrix pour le CDS Clarity,,P_Poste de travail virtuel distant_Accès distant pour le CDS CLARITY_GS_CITRIX_CLARITY,P_Poste de travail virtuel distant_Accès distant pour le CDS CLARITY,
Accès é la plateforme Citrix pour le CDS de développement sur le périmétre HOST,,P_Poste de travail virtuel distant_Accès distant pour le CDS HOST_GS_CITRIX_HOST,P_Poste de travail virtuel distant_Accès distant pour le CDS HOST,
Accès é l'application PowerBI EAF,,P_PowerBI_Utilisateur,P_PowerBI_Utilisateur,
Les membres utilisateurs de ce réle se voient attribuer un compte Quality Center,,P_Quality Center_,P_Quality Center,
Centre de Service pour Quality Center,,P_Quality Center_CDS QC_CDS QC,P_Quality Center_CDS QC,
Maitrise d'éuvre de Quality Center,,P_Quality Center_Informatique QC_Informatique QC,P_Quality Center_Informatique QC,
Métier responsable de Quality Center,,P_Quality Center_Métier QC_Métier QC,P_Quality Center_Métier QC,
Tierce recette applicative de Quality Center,,P_Quality Center_TRA QC_TRA QC,P_Quality Center_TRA QC,
Installation des logiciels de calcul statistiques R for Windows et R Studio sur le poste de travail,,P_R for Windows_R for Windows et R Studios installés_R for Windows et R Studio installé,P_R for Windows_R for Windows et R Studios installés,
Réle Administrateur fonctionnel pour la partie Scope,,P_RCP Scope_Administrateur Fonctionnel_Scope,P_RCP Scope_Administrateur Fonctionnel_Scope,
Droit Administrateur des habilitations Portail,,P_RCP Scope_Administrateur des habilitations - Portail,P_RCP Scope_Administrateur des habilitations - Portail,
Administrateur fonctionnel Portail,,P_RCP Scope_Administrateur fonctionnel - Portail,P_RCP Scope_Administrateur fonctionnel - Portail,
Réle Administrateur local - RCPR dans le périmétre Plan d'actions,,P_RCP Scope_Administrateur local - RCPR - Plan d'actions,P_RCP Scope_Administrateur local - RCPR - Plan d'actions,
Réle Administrateur local - RCPR pour le périmétre SCOPE,,P_RCP Scope_Administrateur local - RCPR_Scope,P_RCP Scope_Administrateur local - RCPR_Scope,
Réle Auditeur pour le périmétre Scope,,P_RCP Scope_Auditeur_Scope,P_RCP Scope_Auditeur_Scope,
Réle Contréleur pour la partie Scope,,P_RCP Scope_Contréleur_Scope,P_RCP Scope_Contréleur_Scope,
Réle Lecteur Auditeur du périmétre OLIMPIA,,P_RCP Scope_Lecteur - Auditeur - OLIMPIA,P_RCP Scope_Lecteur - Auditeur - OLIMPIA,
Droit de lecture pour le portail,,P_RCP Scope_Lecteur - Portail,P_RCP Scope_Lecteur - Portail,
Réle Lecteur pour la partie Scope,,P_RCP Scope_Lecteur_Scope,P_RCP Scope_Lecteur_Scope,
Réle Rédacteur dans la périmétre Scope,,P_RCP Scope_Rédacteur_Scope,P_RCP Scope_Rédacteur_Scope,
Réle Synchro dans le périmétre Scope,,P_RCP Scope_Synchro_Scope,P_RCP Scope_Synchro_Scope,
Réle Valideur dans le périmétre Scope,,P_RCP Scope_Valideur_Scope,P_RCP Scope_Valideur_Scope,
Logiciel Décisionnel SAS Console installé,,P_SAS Console_SAS Console installé_SAS Console installé,P_SAS Console_SAS Console installé,
Logiciel Décisionnel SAS Guide installé,,P_SAS Guide_SAS Guide installé_SAS Guide installé,P_SAS Guide_SAS Guide installé,
Autorisation compléte de l'USB et du WiFi (profil réservé ITD),,P_SEP_Autorisation USB et Wifi_Autorisation USB et Wifi,P_SEP_Autorisation USB et Wifi,
Autorisation d'utiliser les ports USB de son PC (hors périphérique de stockage),,P_SEP_Autorisation USB_Autorisation USB,P_SEP_Autorisation USB,
Autorisation compléte de l'USB et du WiFi avec traéabilité des action (profil réservé au HelpDesk),,P_SEP_Helpdesk_Helpdesk,P_SEP_Helpdesk,
