Identifier;Name;Description;ApplicationIdentifier;FunctionalApprover;TechnicalAdmin
PCKR12_ASSISTANT_ COMPTABILITé_ SOCIALE;P_Oracle R12_Comptabilité Pacifica-Production-Assistant Comptabilité Sociale;Ce profil donne le réle UMX ;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DIRECTION_COMMERCIALE;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION COMMERCIALE;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DIRECTION_COMMERCIALE contenant les responsab;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DIRECTION_FINANCIERE;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION FINANCIERE;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DIRECTION_FINANCIERE contenant les responsabi;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DIRECTION_GENERALE;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION GENERALE;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DIRECTION_GENERALE contenant les responsabili;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DIRECTION_SINISTRE;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION SINISTRE;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DIRECTION_SINISTRE contenant les responsabili;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DIRECTION_SINISTRE;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION SINISTRES;Unité de rattachement : PACIFICA;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DMAP;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DMAP;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DMAP contenant les responsabilités suivantes:;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DOSIP;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DOSIP;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DOSIP contenant les responsabilités suivantes;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DPART;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DPART;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DPART contenant les responsabilités suivantes;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_DPROS;P_Oracle R12_Comptabilité Pacifica-Production-Assistant DPROS;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DPROS contenant les responsabilités suivantes;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_GIP_PA;P_Oracle R12_Comptabilité Pacifica-Production-Assistant GIP PA;Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_GIP_PA contenant les responsabilités suivante;Oracle R12;;
PCKR12_AP_PACIFICA_CONSULTATION_RESTRICTED;P_Oracle R12_Comptabilité Pacifica-Production-AP Consultation Restricted;Ce profil donne le réle UMX|PCKR12_AP_PACIFICA_CONSULTATION_RESTRICTED avec la responsabilité suivante:;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_101CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 101CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_101CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_102CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 102CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_102CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_202CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant budgétaire Secteur 202CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_budgétaire_Secteur_202CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_300CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 300CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_300CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_401CO;P_Oracle R12_Comptabilite Pacifica-Production-AR Assistant budgétaire Secteur 401CO;PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_401CO;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_402CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant budgétaire Secteur 402CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_budgétaire_Secteur_402CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_504CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 504CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_504CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_507CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 507CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_507CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_508CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire secteur 508CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_secteur_508CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_509CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant budgétaire Secteur 509CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_budgétaire_Secteur_509CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_603CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire secteur 603CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_secteur_603CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_700CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 700CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_700CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_703CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 703CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_703CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGETAIRE_SECTEUR_704CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 704CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_704CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_706CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire secteur 706CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_secteur_706CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_707CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire secteur 707CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_secteur_707CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_708CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 708CO;Ce profil donne le réle UMX ;Oracle R12;;
PCKR12_AR_PACIFICA_ASSISTANT_BUDGéTAIRE_SECTEUR_709CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Assistant Budgétaire Secteur 709CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Assistant_Budgétaire_Secteur_709CO contenant les res;Oracle R12;;
PCKR12_AR_PACIFICA_RESPONSABLE_BUDGéTAIRE_509CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Responsable budgétaire 509CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Responsable_budgétaire_509CO contenant les responsab;Oracle R12;;
PCKR12_AR_PACIFICA_RESPONSABLE_BUDGéTAIRE_SECTEUR_101CO;P_Oracle R12_Comptabilité Pacifica-Production-AR Responsable Budgétaire Secteur 101CO;Ce profil donne le réle UMX PCKR12_AR_Pacifica_Responsable_Budgétaire_Secteur_101CO contenant les r;Oracle R12;;
PCKR12_AR_PACIFICA_RESPONSABLE_BUDGéTAIRE_SECTEUR_401CO;P_Oracle R12_Comptabilite Pacifica-Production-AR Responsable Budgétaire Secteur 401CO;PCKR12_AR_PACIFICA_RESPONSABLE_BUDGéTAIRE_SECTEUR_401CO;Oracle R12;;
SIRR12_SIRCA_ASSISTANT_FORMATION;Comptabilite Sirca-Production-Assistant FORMATION;SIRR12_SIRCA_ASSISTANT_FORMATION;Oracle R12;;
SIRR12_SIRCA_ASSISTANT_LOGISTIQUE_PROJET_HQE;Comptabilite Sirca-Production-Assistant LOGISTIQUE_PROJET_HQE;SIRR12_SIRCA_ASSISTANT_LOGISTIQUE_PROJET_HQE;Oracle R12;;
SIRR12_SIRCA_ASSISTANT_LOGISTIQUE_SECURITE_SURETE;Comptabilite Sirca-Production-Assistant LOGISTIQUE_SECURITE_SURETE;SIRR12_SIRCA_ASSISTANT_LOGISTIQUE_SECURITE_SURETE;Oracle R12;;
SIRR12_SIRCA_ASSISTANT_LOGISTIQUE_UGS_BAS_CARBONE;Comptabilite Sirca-Production-Assistant LOGISTIQUE_UGS_BAS_CARBONE;SIRR12_SIRCA_ASSISTANT_LOGISTIQUE_UGS_BAS_CARBONE;Oracle R12;;
SIRR12_SIRCA_RESPONSABLE_FORMATION;Comptabilite Sirca-Production-Responsable FORMATION;SIRR12_SIRCA_RESPONSABLE_FORMATION;Oracle R12;;
VIAR12_VIAVITA_ASSISTANT_LOGISTIQUE_PROJET_HQE;Comptabilite Viavita-Production-Assistant LOGISTIQUE_PROJET_HQE;VIAR12_VIAVITA_ASSISTANT_LOGISTIQUE_PROJET_HQE;Oracle R12;;
VIAR12_VIAVITA_ASSISTANT_LOGISTIQUE_SECURITE_SURETE;Comptabilite Viavita-Production-Assistant LOGISTIQUE_SECURITE_SURETE;VIAR12_VIAVITA_ASSISTANT_LOGISTIQUE_SECURITE_SURETE;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_BUDGET_CONSOLIDATION;Comptabilite Pacifica-Production-Assistant LOGISTIQUE_BUDGET CONSOLIDATION;PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_BUDGET_CONSOLIDATION;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_FACILITY_MANAGEMENT_AUX_OCCUPANTS;Comptabilite Pacifica-Production-Assistant LOGISTIQUE_FACILITY_MANAGEMENT_AUX_OCCUPANTS;PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_FACILITY_MANAGEMENT_AUX_OCCUPANTS;Oracle R12;;
PCKR12_PACIFICA_ASISTANT_LOGISTIQUE_MGS;Comptabilite Pacifica-Production-Assistant LOGISTIQUE_MGS;PCKR12_PACIFICA_ASISTANT_LOGISTIQUE_MGS;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_PROJET_HQE;Comptabilite Pacifica-Production-Assistant LOGISTIQUE_PROJET_HQE;PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_PROJET_HQE;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_SECURITE_SURETE;Comptabilite Pacifica-Production-Assistant LOGISTIQUE_SECURITE_SURETE;PCKR12_PACIFICA_ASSISTANT_LOGISTIQUE_SECURITE_SURETE;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_RECRUTEMENT;Comptabilite Pacifica-Production-Assistant RECRUTEMENT;PCKR12_PACIFICA_ASSISTANT_RECRUTEMENT;Oracle R12;;
PCKR12_PACIFICA_RESPONSABLE_FORMATION;Comptabilite Pacifica-Production-Responsable FORMATION;PCKR12_PACIFICA_RESPONSABLE_FORMATION;Oracle R12;;
PCKR12_PACIFICA_RESPONSABLE_RECRUTEMENT;Comptabilite Pacifica-Production-Responsable RECRUTEMENT;PCKR12_PACIFICA_RESPONSABLE_RECRUTEMENT;Oracle R12;;
PCKR12_PACIFICA_ASSISTANT_FORMATION;Comptabilite Pacifica-Production-Assistant FORMATION;PCKR12_PACIFICA_ASSISTANT_FORMATION;Oracle R12;;
PCKR12_PACIFICA_PRODUCTION_UGO;P_Oracle R12_Comptabilité Pacifica-Production-UGO;Nouveau profil applicatif  pour UGO;Oracle R12;;
PCKR12_DFI_MOA;P_Oracle R12_Comptabilité Pacifica-Production-DFI MOA;Ce profil donne le réle UMX ;Oracle R12;;
GS_POWERBI_PROD_PORTAIL_TRISKELL_CONSULTATION;PowerBi Triskell Consultation;;Triskell - PowerBI;;
G_USR_DEROG_REMOTE;P_Accès Internet_G_USR_DEROG_REMOTE;Autorisation é utiliser des outils de prise de main é distance tels que logmein, teamviewer, etc;Accès Internet;;
Internet Droits Download;P_Accès Internet_Droit au téléchargement;Autorisation de téléchargement de tous les types de fichiers sur internet;Accès Internet;;
G_OSIRIS_Aubay_CDS_TRA;OSIRIS_Aubay_CDS_TRA;;Osiris;;
G_OSIRIS_Aubay_CDS_SFDI;OSIRIS_Aubay_CDS_SFDI;;Osiris;;
G_OSIRIS_ Coexya_Editique;OSIRIS_Coexya_Editique;;Osiris;;
G_OSIRIS_Tessi_Editique;OSIRIS_Tessi_Editique;;Osiris;;
G_OSIRIS_Alten_DecisionnelStandard;OSIRIS_Alten_DecisionnelStandard;;Osiris;;
G_OSIRIS_Alten_DecisionnelQlickview;OSIRIS_Alten_DecisionnelQlickview;;Osiris;;
G_OSIRIS_RS2I_GED;OSIRIS_RS2I_GED;;Osiris;;
G_OSIRIS_Engage_IAM;OSIRIS_Engage_IAM;;Osiris;;
G_OSIRIS_Brainwave_IAM;OSIRIS_Brainwave_IAM;;Osiris;;
G_OSIRIS_CAAS_DT_SSI;OSIRIS_CAAS_DT_SSI;;Osiris;;
G_OSIRIS_APPS_ServiceNow;OSIRIS_APPS_ServiceNow Portail;;Osiris;;
G_OSIRIS_APPS_Brainwave;OSIRIS_APPS_Brainwave;;Osiris;;
G_OSIRIS_CAAS_DT_DF-Webanalyst;OSIRIS_CAAS_DT_DF-Webanalyst;;Osiris;;
G_OSIRIS_APPS_ServiceNow_BO;OSIRIS_APPS_ServiceNow Back Office;;Osiris;;
T1_PR_GG_VEEAM-ADMINS;P_Administration Infrastructures_Backup-Admins;Administration Technique des repositories et applications de sauvegarde;Administration infrastructures;;
;P_Administration Infrastructures_Backup-Admins;Administration Technique des repositories et applications de sauvegarde;Administration infrastructures;;
T1_PR_GG_STOCKAGE-ADMINS;P_Administration Infrastructures_Stockage-Admins;Administration Technique des baies de Stockage;Administration infrastructures;;
;P_Administration Infrastructures_Stockage-Admins;Administration Technique des baies de Stockage;Administration infrastructures;;
G_OSIRIS_CAAS_IA;OSIRIS_CAAS_DT_DATICS-IA;;Osiris;;
G_OSIRIS_CAAS_SSA;OSIRIS_CAAS_DT_DATICS-SS&A;;Osiris;;
G_OSIRIS_APPS_Explorateur;OSIRIS_APPS_Explorateur Fichiers Pacifica;;Osiris;;
G_DSIBAT;Gestion des batchs SAS métiers;Possibilité pour les métiers de:;Décisionnel - Infocentre;;
P_Sésame Production_Auditeur IARD_S00_AUZ;P_Sésame Production_Auditeur IARD_S00;Auditeur IARD rattaché é l'entité S00;Sésame Production;;
P_Sésame Formation_Auditeur PJ_S00_AUJ;P_Sésame Formation_Auditeur PJ_S00;Auditeur PJ rattaché é l'entité S00;Sésame Formation;;
Auto;Auto;Accès é l'univers Automobile du portail Extranet Europ Assistance France;Extranet EAF;;
Habitation;Habitation;Accès é l'univers Habitation du portail Extranet Europ Assistance France;Extranet EAF;;
Santé;Santé;Accès é l'univers Santé du portail Extranet Europ Assistance France;Extranet EAF;;
G_Qlik_DAPAME;Alerte Météo (DAPAME);Accès au portail Alertes Météo;Décisionnel - QlikView;;
G_Qlik_COMPAC;Stats consultation - Portail Assurance Commun (COMPAC);Accès au portail Stat Consultation - Portail Assurance Commun;Décisionnel - QlikView;;
G_Qlik_COMSCM;Stats consultation MOCCA (COMSCM);Accès au portail Stat Consultation MOCCA;Décisionnel - QlikView;;
G_Qlik_DPRSAP_SA;Suivi Action Produit - SA (DPRSAP_SA);Accès au portail Suivi Action Produit - SA;Décisionnel - QlikView;;
G_Qlik_DPRSAP_SA_AF;Suivi Action Produit - SA_AF (DPRSAP_SA_AF);Accès au portail Suivi Action Produit - SA_AF;Décisionnel - QlikView;;
G_Qlik_DPRSAP_VU;Suivi Action Produit - VU (DPRSAP_VU);Accès au portail Suivi Action Produit - VU;Décisionnel - QlikView;;
G_Qlik_DPRSAP_AV;Suivi Action Produit - AV (DPRSAP_AV);Accès au portail Suivi Action Produit - AV;Décisionnel - QlikView;;
G_Qlik_DPRSAP_GA;Suivi Action Produit - GA (DPRSAP_GA);Accès au portail Suivi Action Produit - GA;Décisionnel - QlikView;;
G_Qlik_DPRSAP_GAV;Suivi Action Produit - GAV (DPRSAP_GAV);Accès au portail Suivi Action Produit - GAV;Décisionnel - QlikView;;
G_Qlik_DPRSAP_GL;Suivi Action Produit - GL (DPRSAP_GL);Accès au portail Suivi Action Produit - GL;Décisionnel - QlikView;;
G_Qlik_DPRSAP_HA;Suivi Action Produit - HA (DPRSAP_HA);Accès au portail Suivi Action Produit - HA;Décisionnel - QlikView;;
G_Qlik_DPRSAP_MP;Suivi Action Produit - MP (DPRSAP_MP);Accès au portail Suivi Action Produit - MP;Décisionnel - QlikView;;
G_Qlik_DPRSAP_NH;Suivi Action Produit - NH (DPRSAP_NH);Accès au portail Suivi Action Produit - NH;Décisionnel - QlikView;;
G_Qlik_DPRSAP_NO;Suivi Action Produit - NO (DPRSAP_NO);Accès au portail Suivi Action Produit - NO;Décisionnel - QlikView;;
G_Qlik_DPRSAP_PJ;Suivi Action Produit - PJ (DPRSAP_PJ);Accès au portail Suivi Action Produit - PJ;Décisionnel - QlikView;;
G_Qlik_DPRSAP_PL;Suivi Action Produit - PL (DPRSAP_PL);Accès au portail Suivi Action Produit - PL;Décisionnel - QlikView;;
G_Qlik_DPRSAP_S3;Suivi Action Produit - S3 (DPRSAP_S3);Accès au portail Suivi Action Produit - S3;Décisionnel - QlikView;;
G_Qlik_DPRSAP_S4;Suivi Action Produit - S4 (DPRSAP_S4);Accès au portail Suivi Action Produit - S4;Décisionnel - QlikView;;
G_Qlik_DPRSAP_S5;Suivi Action Produit - S5 (DPRSAP_S5);Accès au portail Suivi Action Produit - S5;Décisionnel - QlikView;;
G_Qlik_DPRSAP_S6;Suivi Action Produit - S6 (DPRSAP_S6);Accès au portail Suivi Action Produit - S6;Décisionnel - QlikView;;
G_Qlik_DPRSAP_A2;Suivi Action Produit - A2 (DPRSAP_A2);Accès au portail Suivi Action Produit - A2;Décisionnel - QlikView;;
G_Qlik_DPRSAP_A4;Suivi Action Produit - A4 (DPRSAP_A4);Accès au portail Suivi Action Produit - A4;Décisionnel - QlikView;;
G_INF_SINTEC;Datamart Outil d'Analyse Technique (TECDTM);Accès aux données OAT;Décisionnel - Infocentre;;
G_INF_DPROSA;Données OAT Santé (OSA<aaaa>);Accès aux données OAT Santé;Décisionnel - Infocentre;;
G_INF_DPROAT;Infocentre OAT (O<aa>_<mmaa>);K:\Projets\DPROAT\02_Datamarts;Décisionnel - Infocentre;;
P_Sésame Formation_Rédacteur Assurance Production - 540_540_RAP;P_Sésame Formation_Rédacteur Assurance Production - 540_540;Rédacteur Assurance Production rattaché é l'entité 540;Sésame Formation;;
P_EDOKIAL_MC_FO_RCI_GS_EDOKIAL_MC_FO_RCI;P_EDOKIAL_MC_FO_RCI;Profil de consultation des CERFA MC et FO(recette);EDOKIAL;;
P_EDOKIAL_MC_FO_PROD_GS_EDOKIAL_MC_FO_PROD;P_EDOKIAL_MC_FO_PROD;Profil de consultation des CERFA MC et FO;EDOKIAL;;
G_Qlik_SINTEC_CGA;Portail de la DSIN - CORPOREL_GAV (SINTEC_CGA);Accès au Portail de la DSIN - CORPOREL_GAV;Décisionnel - QlikView;;
P_CLIPEX_Administrateur_Administrateur;Administrateur CLIPEX;Permet d'Accèder é l'administration de l'application;CLIPEX;;
Administrateur;Administrateur Tenable;;Tenable;;
Administrateur;Administrateur SentinelOne;;SentinelOne;;
Administrateur;Administrateur Confluence;;Confluence;;
Administrateur;Administrateur Triskell;;Triskell;;
Utilisateur;Utilisateur Mon empreinte digital;Posséde le droit de consultation des données ce qui regroupe les trois profils de besoins au méme niveau déhabilitation : Communication APLC, Animateur consommation digitale, Reporting Pacifica et Groupe;Mon empreinte digital;;
Utilisateur;Utilisateur Triskell;;Triskell;;
G_Qlik_SINRIA;Monitoring IA (SINRIA);Accès é l'application Monitoring IA;Décisionnel - QlikView;;
G_Qlik_DEPPUG;Stats Téléphonie DEP (DEPPUG);Accès é l'application Stats Téléphonie DEP;Décisionnel - QlikView;;
Validateur;P_EASY_Validateur;Profil technique pour valideur;EASY;;
Prescripteur;P_EASY_Prescripteur;Profil technique pour prescripteur;EASY;;
C.externalisation;P_EASY_C.externalisation;Profil technique Correspondant externalisation;EASY;;
Auditeur;P_EASY_Auditeur;Profil technique Auditeur pour juriste;EASY;;
Administrateur local;P_EASY_Administrateur local;Profil pour administrateur local;EASY;;
Acheteur;P_EASY_Acheteur;Profil technique Acheteur;EASY;;
G_Qlik_COMPCR;Partenariat CRCA - Portail CRCA (COMPCR);Accès au portail CR;Décisionnel - QlikView;;
G_Qlik_DIPPCS;Pilotage é chaud de la souscription (DIPPCS);"Accès é l'application QlikView ""Pilotage é chaud de la souscription""";Décisionnel - QlikView;;
G_Qlik_DIPPBO;Pilotage Back Office (DIPPBO);Accès au portail Pilotage Back Office;Décisionnel - QlikView;;
G_Qlik_DIPSTA;Reporting Editique (DIPSTA);Accès au portail Reporting Editique;Décisionnel - QlikView;;
G_Qlik_DSIHAB;Habilitations Sesame (DSIHAB);Accès au portail Habilitations Sésame;Décisionnel - QlikView;;
G_Qlik_RENKPI_INDIC;Indicateurs de pilotage partie KPI (RENKPI_INDIC);P_Décisionnel - QlikView_Indicateurs de pilotage partie KPI-G_Qlik_RENKPI_INDIC;Décisionnel - QlikView;;
G_Qlik_DSIAAA;Statistiques 3A (DSIAAA);Accès au portail Statistiques 3A;Décisionnel - QlikView;;
G_Qlik_DSISEP;Statistiques SEPA (DSISEP);Accès au portail Statistiques SEPA;Décisionnel - QlikView;;
G_Qlik_DSIEXP;Suivi de production (DSIEXP);Accès au portail Suivi de Production;Décisionnel - QlikView;;
G_Qlik_DIPRSC;Suivi des événements de résiliation (DIPRSC);"Accès é l'application QlikView ""Suivi des événements de résiliation""";Décisionnel - QlikView;;
G_Qlik_DIPLRE;Suivi des lettres recommandées électroniques (DIPLRE);Accès au portail Suivi des lettres recommandées électroniques;Décisionnel - QlikView;;
G_Qlik_DSIEDK;Suivi Infocentre Editique (DSIEDK);Accès au portail Suivi Infocentre Editique;Décisionnel - QlikView;;
G_Qlik_SINACT;Actualisation contrats (SINACT);Accès au portail Actualisation contrats;Décisionnel - QlikView;;
PACIFICA_interne;P_ARTEFIS_Administrateur;Profil permettant la gestion des droits utilisateurs;ARTEFIS;;
PACIFICA_interne;P_ARTEFIS_Utilisateur interne;Profil destiné aux utilisateurs internes Pacifica (URL interne inaccessible depuis Internet);ARTEFIS;;
QlikSense COMPPA Consommateur;QlikSense COMPPA Consommateur;;Décisionnel - QlikSense;;
QlikSense COMPPA Professional;QlikSense COMPPA Professional;;Décisionnel - QlikSense;;
G_INF_SINANN;Annuaire DSIN (ANNUAIRE);Accès é l'annuaire DSIN;Décisionnel - Infocentre;;
G_INF_DFIREF;Données Référentiel Commun DFI-DSA (REFDFI);Accès aux données du référentiel commun DFI-DSA;Décisionnel - Infocentre;;
P_Quality Center_;P_Quality Center;Les membres utilisateurs de ce réle se voient attribuer un compte Quality Center;Quality Center;;
G_INF_CLINBO;Next Best Offer (NBODTM);Accès aux données NBO;Décisionnel - Infocentre;;
G_INF_CLIOSA;Datamarts OSACCA (OSADTM);Accès aux datamarts OSACCA;Décisionnel - Infocentre;;
G_INF_CLIOSA;Datamarts OSACCA (OSADTM);Accès aux Datamarts OSACCA;Décisionnel - Infocentre;;
P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - S12_S12_RSA;P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - S12_S12;Utilisateur déUGS avec niveau de réglement 010 rattaché é l'entité S12;Sésame Production;;
P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - S13_S13_RSA;P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - S13_S13;Utilisateur déUGS avec niveau de réglement 010 rattaché é l'entité S13;Sésame Production;;
P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - S80_S80_RSA;P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - S80_S80;Utilisateur déUGS avec niveau de réglement 010 rattaché é l'entité S80;Sésame Production;;
P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - SE1_SE1_RSA;P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - SE1_SE1;Utilisateur déUGS avec niveau de réglement 010 rattaché é l'entité SE1;Sésame Production;;
P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - SR1_SR1_RSA;P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - SR1_SR1;Utilisateur déUGS avec niveau de réglement 010 rattaché é l'entité SR1;Sésame Production;;
P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - SR2_SR2_RSA;P_Sésame Production_Utilisateur déUGS avec niveau de réglement 010 - SR2_SR2;Utilisateur déUGS avec niveau de réglement 010 rattaché é l'entité SR2;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - SE1_SE1_CS3;P_Sésame Production_Manager Assistant (en UGS) - SE1_SE1;Manager Assistant (en UGS) rattaché é l'entité SE1;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - SJ1_SJ1_CS3;P_Sésame Production_Manager Assistant (en UGS) - SJ1_SJ1;Manager Assistant (en UGS) rattaché é l'entité SJ1;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - SJ2_SJ2_CS3;P_Sésame Production_Manager Assistant (en UGS) - SJ2_SJ2;Manager Assistant (en UGS) rattaché é l'entité SJ2;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - SJ3_SJ3_CS3;P_Sésame Production_Manager Assistant (en UGS) - SJ3_SJ3;Manager Assistant (en UGS) rattaché é l'entité SJ3;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - SJ4_SJ4_CS3;P_Sésame Production_Manager Assistant (en UGS) - SJ4_SJ4;Manager Assistant (en UGS) rattaché é l'entité SJ4;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - SJ5_SJ5_CS3;P_Sésame Production_Manager Assistant (en UGS) - SJ5_SJ5;Manager Assistant (en UGS) rattaché é l'entité SJ5;Sésame Production;;
